PassengerId,Survived_pred,Survived_prob
892,0,0.15130513378517504
893,1,0.5
894,0,0.14344449642619675
895,0,0.14353507898587547
896,1,0.5190469593404622
897,0,0.16921450065612118
898,1,0.8480691346406625
899,0,0.19028291783351045
900,1,0.7264921291025765
901,0,0.12675363615508511
902,0,0.14418371719005404
903,0,0.15155645091695766
904,1,0.8847164876851741
905,0,0.13712162722728244
906,1,0.9073158683204098
907,1,0.8830506580508957
908,0,0.13729295941254566
909,0,0.1699930853291832
910,0,0.45998343250638557
911,1,0.6468439100713961
912,0,0.252354307907731
913,1,0.6150521460239238
914,1,0.9023024500857928
915,0,0.2909628428798464
916,1,0.5
917,0,0.11748180890533083
918,1,0.9029482628560139
919,0,0.16384809702325745
920,0,0.15179374661991885
921,0,0.15296527668023735
922,0,0.13522479457924796
923,0,0.1782470340097179
924,0,0.4283113758853073
925,0,0.43114334010324235
926,0,0.18358581089239417
927,0,0.18369023906839518
928,1,0.5766368131481502
929,1,0.5415428615013809
930,0,0.14276227896600163
931,0,0.16752821319900785
932,0,0.1432537155154068
933,0,0.15116417623830128
934,0,0.151476382524129
935,1,0.8723291096946952
936,1,0.9124318414913024
937,0,0.14265538144295423
938,0,0.16271869472728165
939,0,0.149990163964973
940,1,0.8349475472961838
941,1,0.625149772403126
942,0,0.16698212681368743
943,0,0.14202188091618007
944,1,0.7943504912921774
945,1,0.8491596238859886
946,0,0.14076697317272324
947,0,0.12998938377500183
948,0,0.1505804461463119
949,0,0.14264114223639782
950,0,0.11244377722333565
951,1,0.7478734017388036
952,0,0.15465757766277585
953,0,0.14369873817057585
954,0,0.15128517767820335
955,1,0.8422824464094353
956,1,0.5274235972072973
957,1,0.8738293924295898
958,1,0.833197974605982
959,0,0.15079016023637246
960,0,0.1492305165427155
961,0,0.2522379461689954
962,1,0.8457039442426807
963,0,0.14479796295552733
964,1,0.5812817736810769
965,0,0.1514426833034409
966,1,0.795743817415411
967,0,0.2512265429224074
968,0,0.1441975389673751
969,1,0.8314342120985132
970,0,0.14141758521328313
971,1,0.8457039442426807
972,1,0.7546932477062953
973,0,0.4497594090119768
974,0,0.15043623398432715
975,0,0.14418371719005404
976,0,0.13683502008393883
977,0,0.13453759137503596
978,1,0.8487191949723876
979,1,0.5286556842901147
980,1,0.8488694891748871
981,1,0.8669919189649732
982,0,0.44931232763921164
983,0,0.14417318438658272
984,1,0.9251239710224826
985,0,0.1441975389673751
986,0,0.15861341728033523
987,0,0.14264852720014223
988,1,0.6955593944547606
989,0,0.1450384287680433
990,1,0.5357590104773601
991,0,0.14895010038436846
992,1,0.8931025891096176
993,0,0.13428762842913874
994,0,0.149990163964973
995,0,0.1429377234587641
996,1,0.8143092701496337
997,0,0.14732394914123914
998,0,0.1573592464140773
999,0,0.149990163964973
1000,0,0.14426172107889113
1001,0,0.14908929929385323
1002,0,0.14655675144868185
1003,1,0.8488959144831599
1004,1,0.8644736481782715
1005,1,0.8340060948729415
1006,1,0.7378503742571185
1007,0,0.19332211178392344
1008,0,0.1512227248922559
1009,1,0.7996069518955146
1010,0,0.15626881983458593
1011,1,0.8612380661501188
1012,1,0.7968476814543555
1013,0,0.1524773463339119
1014,1,0.8981026129370282
1015,0,0.14413042545644353
1016,0,0.149990163964973
1017,1,0.7482411112202992
1018,0,0.14366496649505192
1019,1,0.7993379059070852
1020,0,0.15240033808114348
1021,0,0.142651319469297
1022,0,0.14798979464979736
1023,0,0.1797547659357502
1024,0,0.18751943132292906
1025,0,0.1351352675772699
1026,0,0.15010882080452773
1027,0,0.14264272320960722
1028,0,0.15340243345288138
1029,0,0.13864832111397632
1030,1,0.5502924945395725
1031,0,0.20312779509139323
1032,0,0.14532937013092864
1033,1,0.8677501935660108
1034,0,0.2723560040269099
1035,0,0.13857750343660863
1036,0,0.15221115754873762
1037,0,0.17044077635764524
1038,0,0.14716636942145161
1039,0,0.14367095374889774
1040,0,0.15116417623830128
1041,0,0.15018288491385373
1042,1,0.8943953355506645
1043,0,0.15123966427419644
1044,0,0.12848966545632684
1045,1,0.6212711735374838
1046,0,0.11287110516301799
1047,0,0.1426306884645671
1048,1,0.8466254482691312
1049,1,0.5499358578788897
1050,0,0.15221115754873762
1051,1,0.6703969792556838
1052,1,0.8488543644353779
1053,1,0.7254236074865607
1054,1,0.858242144877099
1055,0,0.14411179103122224
1056,0,0.15222151279866145
1057,1,0.506023059480518
1058,0,0.17993760796760289
1059,0,0.15784864984558197
1060,1,0.8596150200822041
1061,1,0.546867118359931
1062,0,0.1441542581037424
1063,0,0.15258929418984718
1064,0,0.1196906169778009
1065,0,0.15122718964466067
1066,0,0.13966868730128637
1067,1,0.9261666249326775
1068,1,0.848056842407969
1069,0,0.24431181810414052
1070,1,0.7292053721297049
1071,1,0.7681620966736799
1072,0,0.14141758521328313
1073,0,0.18242894925849676
1074,1,0.8864715480695818
1075,0,0.149990163964973
1076,1,0.8437140592375364
1077,0,0.15172744512037944
1078,1,0.9228316117047691
1079,0,0.15297672178766467
1080,0,0.15125528484144224
1081,0,0.15184455655930093
1082,0,0.1314328470950485
1083,0,0.15125160850407335
1084,0,0.46064166359795045
1085,0,0.14199900378802507
1086,1,0.8581922195787484
1087,0,0.14892111856535367
1088,1,0.7215641479576997
1089,1,0.5282255559267872
1090,0,0.14003874482295547
1091,1,0.57676549180804
1092,1,0.8549839190885056
1093,1,0.8964744007528495
1094,0,0.37991456703258397
1095,1,0.9290288664583146
1096,0,0.13898594632434183
1097,0,0.15230901544304454
1098,1,0.8381286539170579
1099,0,0.1393132661770644
1100,1,0.8616341844943405
1101,0,0.14265380686928
1102,0,0.15186882800125281
1103,0,0.14411542865984886
1104,0,0.15518586262103287
1105,1,0.7702297593691778
1106,0,0.29130515350447045
